,article_w_version,Statement_Match_Rate,Type_Match_Rate,Combined_Statement_Type_Match_Rate,Name_Match_Rate,Type_Name_Match_Rate,Type_Correct_Name_Match_Rate,Title_Match_Rate,Justification_Match_Rate,Title_Justification_Join_Match_Rate,All_Attribute_Accuracy,LLM_Miss_Rate,LLM_Unique_Discover_Rate,Both_Found_Count,Match_Counts,LLM_Unique_Discover_Counts,Total_Unique_Sentences
0,1-Harris-Trump-Reuters-Poll_avg,0.38999999999999996,0.2265873015873016,0.09,0.4246031746031746,0.2265873015873016,1.0,0.4246031746031746,0.08722222222222223,0.08722222222222223,0.06,0.6100000000000001,0.11987954074910598,7.8,1.8,2.8,22.8
6,10-Nebraska-voting-rights_avg,0.775,0.8342857142857142,0.65,0.8342857142857142,0.6685714285714286,0.8,0.8342857142857142,0.45714285714285713,0.5428571428571429,0.275,0.225,0.2,6.2,4.2,2.4,10.4
12,11-Nebraska-felons-crim-justice_avg,0.7,0.7571428571428571,0.53,0.7714285714285714,0.7000000000000001,0.9272727272727274,0.7714285714285714,0.0857142857142857,0.09999999999999998,0.24,0.3,0.15942028985507245,14.0,9.8,3.8,23.8
18,12-kids-lead-poisoning_avg,0.9,0.4,0.4,0.6,0.0,0.0,0.6,0.0,0.0,0.0,0.1,0.7011111111111111,1.8,0.0,5.2,7.2
24,13-pilot-curb-evictions_avg,0.6142857142857142,0.8733333333333334,0.5285714285714286,0.8066666666666666,0.8066666666666666,0.9222222222222222,0.8066666666666666,0.24666666666666667,0.24666666666666667,0.45714285714285713,0.38571428571428573,0.2079994316567207,8.6,6.8,4.0,18.0
30,14-many-police-calls_avg,0.4434782608695652,0.6868376068376069,0.3130434782608696,0.587008547008547,0.587008547008547,0.846190476190476,0.587008547008547,0.1676923076923077,0.25213675213675213,0.2347826086956522,0.5565217391304348,0.2170935960591133,10.2,6.6,6.4,29.4
36,15-Newsom-declares-emergency_avg,0.6222222222222222,0.7706228956228957,0.48888888888888893,0.6313131313131314,0.6313131313131314,0.8190476190476191,0.6313131313131314,0.14604377104377106,0.255050505050505,0.15555555555555556,0.37777777777777777,0.2063492063492063,9.333333333333334,6.0,4.0,19.0
40,16-America's-Sleeping-Giant_avg,0.6,0.6928571428571428,0.4153846153846154,0.5107142857142857,0.5107142857142857,0.7428571428571428,0.5107142857142857,0.0,0.02857142857142857,0.16923076923076924,0.4,0.23316993464052288,7.8,4.0,4.0,17.0
46,17-homelessness-santa-clara_avg,0.6,0.5765034965034965,0.35000000000000003,0.6118881118881119,0.4432167832167832,0.7678571428571429,0.6118881118881119,0.015384615384615385,0.08153846153846153,0.18,0.39999999999999997,0.05465838509316769,12.0,5.4,1.2,21.2
52,18-wyoming-primary-dems_avg,0.6153846153846154,0.8125,0.5,0.875,0.8125,1.0,0.875,0.1875,0.25,0.3076923076923077,0.38461538461538464,0.2113970588235294,8.0,6.5,3.5,16.5
55,19-oakland-sues-SW-airlines_avg,0.4333333333333333,0.85,0.3666666666666667,0.6,0.6,0.7100000000000001,0.6,0.14999999999999997,0.26666666666666666,0.15,0.5666666666666667,0.11252747252747253,5.2,3.0,1.6,13.6
61,2-Best-DDR-player_avg,0.49523809523809514,0.8066666666666669,0.4,0.8066666666666669,0.8066666666666669,1.0,0.8066666666666669,0.0,0.0,0.2,0.5047619047619047,0.21500147362216326,10.4,8.4,5.8,26.8
67,20-bill-easier-access_avg,0.5,0.75,0.375,1.0,0.75,1.0,1.0,0.0,0.125,0.25,0.5,0.19444444444444442,4.0,3.0,2.25,10.25
72,21-trump-kamala-mispronounce_avg,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.0,0.0,0.16666666666666666,0.3333333333333333,0.3125,2.0,2.0,2.5,5.5
77,22-Judge-rules-breona-taylor_avg,0.6125,0.6743434343434344,0.4125,0.6543434343434343,0.6543434343434343,0.9666666666666666,0.6543434343434343,0.1616161616161616,0.2202020202020202,0.3,0.3875,0.19919799498746865,9.8,6.4,4.0,20.0
83,23-black-landowners-11mins_avg,0.7,0.8045454545454545,0.5625,0.5363636363636364,0.5363636363636364,0.6666666666666666,0.5363636363636364,0.35757575757575755,0.35757575757575755,0.35,0.3,0.18086124401913875,11.2,6.0,3.6,19.6
